iter	Passed	Remaining
639	77140	43391
640	77278	43280
641	77396	43158
642	77518	43039
643	77649	42924
644	77772	42804
645	77932	42706
646	78143	42634
647	78376	42574
648	78590	42504
649	78865	42466
650	79112	42412
651	79428	42394
652	79653	42327
653	79830	42234
654	79999	42137
655	80180	42045
656	80328	41937
657	80497	41839
658	80643	41728
659	80832	41641
660	81181	41634
661	81491	41607
662	81668	41511
663	81838	41412
664	82018	41317
665	82264	41255
666	82419	41147
667	82642	41073
668	82825	40979
669	82979	40870
670	83093	40742
671	83215	40617
672	83380	40513
673	83537	40405
674	83671	40286
675	83809	40169
676	84027	40089
677	84265	40019
678	84464	39930
679	85000	40000
680	85289	39952
681	85483	39858
682	85702	39777
683	86042	39750
684	86286	39679
685	86465	39577
686	86645	39475
687	86828	39375
688	86986	39263
689	87209	39181
690	87388	39078
691	87549	38967
692	87706	38854
693	87851	38735
694	88039	38636
695	88197	38523
696	88378	38420
697	88533	38305
698	88676	38185
699	88813	38062
700	88914	37925
701	89043	37799
702	89173	37673
703	89285	37540
704	89431	37421
705	89578	37303
706	89760	37199
707	89917	37084
708	90072	36969
709	90222	36851
710	90349	36724
711	90472	36595
712	90616	36475
713	90719	36338
714	90839	36208
715	90933	36068
716	91033	35930
717	91136	35794
718	91239	35658
719	91346	35523
720	91475	35397
721	91578	35261
722	91686	35127
723	91801	34996
724	91908	34861
725	92032	34734
726	92155	34605
727	92277	34477
728	92381	34342
729	92496	34211
730	92622	34084
731	92739	33953
732	92847	33820
733	92981	33696
734	93107	33569
735	93259	33451
736	93384	33324
737	93519	33200
738	93633	33069
739	93745	32937
740	93852	32804
741	93990	32681
742	94135	32560
743	94298	32446
744	94453	32329
745	94600	32209
746	94729	32083
747	94883	31965
748	95061	31856
749	95207	31735
750	95338	31610
751	95484	31489
752	95619	31365
753	95743	31237
754	95884	31114
755	96028	30993
756	96153	30865
757	96326	30753
758	96489	30637
759	96616	30510
760	96742	30382
761	96913	30269
762	97046	30144
763	97191	30022
764	97334	29900
765	97437	29765
766	97546	29632
767	97675	29506
768	97821	29384
769	97975	29265
770	98081	29131
771	98213	29006
772	98335	28877
773	98455	28748
774	98574	28618
775	98681	28485
776	98795	28354
777	98908	28223
778	99014	28089
779	99121	27957
780	99244	27829
781	99335	27692
782	99436	27557
783	99555	27428
784	99660	27295
785	99779	27166
786	99884	27033
